description	price	prime	url	stars	num_reviews
ASUS TUF Gaming NVIDIA GeForce RTX 4070 OC Edition Scheda Grafica, 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0, GPU NVIDIA Ada Lovelace, TUF-RTX4070-O12G-GAMING	752,55	False	https://www.amazon.it/ASUS-GeForce-Grafica-Lovelace-TUF-RTX4070-O12G-GAMING/dp/B0BVMM9VB1/ref=sr_1_31?keywords=gpu&qid=1699106662&sr=8-31	4,5	63
ASUS DUAL NVIDIA GeForce RTX 4060 Ti OC Edition Scheda Grafica, 16 GB GDDR6 128-bit, OpenGL 4.6, 18 Gbps PCIE 4.0, HDMI, DisplayPort, GPU Tweak III, DUAL-RTX4060TI-O16G	517,13	False	https://www.amazon.it/ASUS-GeForce-Grafica-DisplayPort-DUAL-RTX4060TI-O16G/dp/B0CC33B3PZ/ref=sr_1_32?keywords=gpu&qid=1699106662&sr=8-32	5,0	2
Aairhut Thermal Pad 13W/MK Cuscinetti Termici, 85x45x1mm Silicone Cooling Pad GPU Resistenza al Calore Non conduttiva Extreme Odyssey Cover con Dual Film Autoadesivi	7,99	False	https://www.amazon.it/Aairhut-Cuscinetti-Resistenza-conduttiva-Autoadesivi/dp/B09XJVBPQ1/ref=sr_1_37?keywords=gpu&qid=1699106662&sr=8-37	4,6	218
GIGABYTE VGA AMD RX 6600 EAGLE 8G	217,00	True	https://www.amazon.it/GIGABYTE-VGA-AMD-6600-EAGLE/dp/B09JCKJ2G9/ref=sr_1_38?keywords=gpu&qid=1699106662&sr=8-38	4,3	325
EZDIY-FAB Scheda Grafica GPU Brace 5V 3Pin ARGB,Supporto Della Scheda Video Sag Holder Holster Bracket,Alluminio Anodizzato (Nero)	21,99	False	https://www.amazon.it/EZDIY-FAB-Grafica-Supporto-Alluminio-Anodizzato/dp/B08TBR276G/ref=sr_1_39?keywords=gpu&qid=1699106662&sr=8-39	4,4	97
Uyubao Supporto Scheda Grafica GPU, Supporto Scheda Video, Supporto GPU, M(50mm-80mm)	7,90	False	https://www.amazon.it/Uyubao-Supporto-Scheda-Grafica-50mm-80mm/dp/B0CBTZVR3Y/ref=sr_1_40?keywords=gpu&qid=1699106662&sr=8-40	4,6	116
ASUS TUF Gaming GeForce RTX 4080 O16G OC Scheda Grafica Gaming, OpenGL 4.6, 16 GB GDDR6X, PCIe 4.0, HDMI 2.1a, DisplayPort 1.4a, GPU Tweak III, Nero	1.407,38	False	https://www.amazon.it/ASUS-Gaming-GeForce-Grafica-DisplayPort/dp/B0BJQPQDSM/ref=sr_1_41?keywords=gpu&qid=1699106662&sr=8-41	4,3	266
maxsun AMD Radeon RX 580 8GB 2048SP GDDR5 Computer Video Scheda Grafica GPU per PC Gaming 256-Bit DirectX 12 DVI, HDMI, DisplayPort Multi Monitor Extend (nero)	132,99	False	https://www.amazon.it/maxsun-RX-580-2048SP-DisplayPort/dp/B0BY1GHRDV/ref=sr_1_42?keywords=gpu&qid=1699106662&sr=8-42	4,2	94
Maxsun GEFORCE GT 1030, Scheda grafica dal design mini ITX, GPU GDDR4 4 GB, HDMI, DVI-D, con sistema di raffreddamento monoventola	119,99	True	https://www.amazon.it/MAXSUN-GEFORCE-GT-1030-Raffreddamento/dp/B08ZCHF59L/ref=sr_1_43?keywords=gpu&qid=1699106662&sr=8-43	4,1	219
ASUS NVIDIA GeForce GT 730 PCIe 2.0, Memoria DDR3 2 GB, Design a Slot Singolo, Auto-Extreme, GPU Tweak II, Nero	79,74	True	https://www.amazon.it/ASUS-GeForce-Carte-Graphique-Profil/dp/B0B6FT5V2B/ref=sr_1_44?keywords=gpu&qid=1699106662&sr=8-44	4,8	6
